TrajectoryName,Time,X,Y,Z
Trajectory_100,0.0,-315.92769966464965,176.21427099691144,0.0
Trajectory_100,0.05,-315.91470195935574,176.19825694099487,0.0
Trajectory_100,0.1,-315.8930392010916,176.1715669540562,0.0
Trajectory_100,0.15,-315.8627117991305,176.13420153892335,0.0
Trajectory_100,0.2,-315.8237209911929,176.08616221815683,0.0
Trajectory_100,0.25,-315.77606956777925,176.02745243267006,0.0
Trajectory_100,0.3,-315.71976286540126,175.9580787575934,0.0
Trajectory_100,0.35,-315.6548099972212,175.87805241838618,0.0
Trajectory_100,0.4,-315.5812252920249,175.78739107037393,0.0
Trajectory_100,0.45,-315.49902998998544,175.6861208856154,0.0
Trajectory_100,0.5,-315.4082541128457,175.57427884796022,0.0
Trajectory_100,0.55,-315.3089385182135,175.4519152980773,0.0
Trajectory_100,0.6,-315.2011370749829,175.31909660736298,0.0
Trajectory_100,0.65,-315.08491892839004,175.1759079701073,0.0
Trajectory_100,0.7,-314.9603707602235,175.02245618008112,0.0
Trajectory_100,0.75,-314.8275989715159,174.85887233064423,0.0
Trajectory_100,0.8,-314.6867316932375,174.68531429108307,0.0
Trajectory_100,0.85,-314.5379205135562,174.50196882463374,0.0
Trajectory_100,0.9,-314.38134180053817,174.30905323134647,0.0
Trajectory_100,0.95,-314.21719751612153,174.10681633805245,0.0
Trajectory_100,1.0,-314.045715407503,173.89553875045524,0.0
Trajectory_100,1.1,-313.6817739505693,173.44713819460682,0.0
Trajectory_100,1.05,-313.86714852022095,173.67553223492777,0.0
Trajectory_100,1.15,-313.48989084702947,173.21072519446602,0.0
Trajectory_100,1.2,-313.29181768494806,172.96668562529874,0.0
Trajectory_100,1.25,-313.0878889137826,172.7154315491011,0.0
Trajectory_100,1.3,-312.8784510907719,172.45738994608243,0.0
Trajectory_100,1.35,-312.663858648805,172.19299750351462,0.0
Trajectory_100,1.4,-312.4444695140931,171.9226952112619,0.0
Trajectory_100,1.45,-312.2204010834997,171.6471177640795,0.0
Trajectory_100,1.5,-311.99209995324946,171.366621977917,0.0
Trajectory_100,1.55,-311.7600480208239,171.08151787463675,0.0
Trajectory_100,1.6,-311.52457682906726,170.792212792159,0.0
Trajectory_100,1.65,-311.28600295456806,170.49909568738138,0.0
Trajectory_100,1.7,-311.04462586615085,170.20253449342928,0.0
Trajectory_100,1.75,-310.80072637203915,169.90287421690468,0.0
Trajectory_100,1.8,-310.5545656726467,169.60043576946924,0.0
Trajectory_100,1.85,-310.3063849172523,169.29551544028666,0.0
Trajectory_100,1.9,-310.056405247601,168.98838492647496,0.0
Trajectory_100,1.95,-309.8048282097274,168.67929184862854,0.0
Trajectory_100,2.0,-309.55183645648117,168.36846062111488,0.0
Trajectory_100,2.05,-309.2975946995725,168.05609361199745,0.0
Trajectory_100,2.1,-309.0422507997016,167.742372484949,0.0
Trajectory_100,2.15,-308.78593695116575,167.42745965517307,0.0
Trajectory_100,2.2,-308.5287709246084,167.111499824637,0.0
Trajectory_100,2.25,-308.2704294573263,166.79497024027867,0.0
Trajectory_100,2.3,-308.01139226291514,166.47766914866742,0.0
Trajectory_100,2.35,-307.7517808548439,166.1596646875764,0.0
Trajectory_100,2.4,-307.49166746773966,165.84104534243795,0.0
Trajectory_100,2.45,-307.23111564424136,165.52188894482606,0.0
Trajectory_100,2.5,-306.97018118704733,165.20226385008124,0.0
Trajectory_100,2.55,-306.70891302859883,164.88222999313692,0.0
Trajectory_100,2.6,-306.44735401839677,164.56183986645078,0.0
Trajectory_100,2.65,-306.18554164006713,164.24113938392725,0.0
Trajectory_100,2.7,-305.92350864848197,163.92016866694493,0.0
Trajectory_100,2.75,-305.66128364389635,163.59896274682424,0.0
Trajectory_100,2.8,-305.40060145498353,163.27964666052975,0.0
Trajectory_100,2.85,-305.1431835845422,162.9643291216976,0.0
Trajectory_100,2.9,-304.88903003558283,162.65301012867158,0.0
Trajectory_100,2.95,-304.6381320628615,162.3456968293865,0.0
Trajectory_100,3.0,-304.3901130271559,162.0426971083749,0.0
Trajectory_100,3.05,-304.1453635088405,161.74369168748413,0.0
Trajectory_100,3.1,-303.9042178893609,161.44908907168102,0.0
Trajectory_100,3.15,-303.6670105453834,161.15929777015378,0.0
Trajectory_100,3.2,-303.43374148240554,160.8743177840519,0.0
Trajectory_100,3.25,-303.20441069864575,160.59414911098847,0.0
Trajectory_100,3.3,-302.9790181923117,160.31879175141353,0.0
Trajectory_100,3.35,-302.7575639664456,160.0482457071979,0.0
Trajectory_100,3.4,-302.54004801923367,159.78251097596802,0.0
Trajectory_100,3.45,-302.32208402243896,159.51622887088868,0.0
Trajectory_100,3.5,-302.10338559970774,159.24904953293634,0.0
Trajectory_100,3.55,-301.8880527039094,158.98598179235108,0.0
Trajectory_100,3.6,-301.67608533554977,158.72702564467718,0.0
Trajectory_100,3.65,-301.4670015855384,158.47257673963836,0.0
Trajectory_100,3.7,-301.2566258991927,158.21709169850013,0.0
Trajectory_100,3.75,-301.04099224692715,157.95522126101892,0.0
Trajectory_100,3.8,-300.8204613904537,157.68740355100854,0.0
Trajectory_100,3.85,-300.59424142523113,157.41503096310285,0.0
Trajectory_100,3.9,-300.3634216311831,157.1379288700192,0.0
Trajectory_100,3.95,-300.1283862489211,156.85649275702588,0.0
Trajectory_100,4.0,-299.88875547585513,156.57173011244333,0.0
Trajectory_100,4.05,-299.6459085707404,156.2831456151849,0.0
Trajectory_100,4.1,-299.39828672391377,155.99269405872863,0.0
Trajectory_100,4.15,-299.1467946710064,155.70019635491707,0.0
Trajectory_100,4.2,-298.8913727540134,155.40627497830351,0.0
Trajectory_100,4.25,-298.6337250785096,155.10996833913583,0.0
Trajectory_100,4.3,-298.3724420384813,154.81298470978427,0.0
Trajectory_100,4.35,-298.1090089316916,154.51445410591467,0.0
Trajectory_100,4.4,-297.8418427243871,154.2161838724387,0.0
Trajectory_100,4.45,-297.5732395877782,153.9164872119711,0.0
Trajectory_100,4.5,-297.2985360796875,153.61993960101609,0.0
Trajectory_100,4.55,-297.021439930034,153.32347500356448,0.0
Trajectory_100,4.6,-296.7429718694541,153.0264042228765,0.0
Trajectory_100,4.65,-296.46192827930423,152.73009926747062,0.0
Trajectory_100,4.7,-296.17964258192126,152.4335132986816,0.0
Trajectory_100,4.75,-295.89560962222896,152.1373114982482,0.0
Trajectory_100,4.8,-295.61027174931013,151.8412431237495,0.0
Trajectory_100,4.85,-295.3225907232078,151.5464552995105,0.0
Trajectory_100,4.9,-295.03312349384544,151.25255399565273,0.0
Trajectory_100,4.95,-294.7429000886884,150.95863886747014,0.0
Trajectory_100,5.0,-294.45054161524706,150.66618477889446,0.0
Trajectory_100,5.05,-294.1572351109999,150.37409920422297,0.0
Trajectory_100,5.1,-293.86150507906433,150.08395640152892,0.0
Trajectory_100,5.15,-293.5644650023156,149.79472524866108,0.0
Trajectory_100,5.2,-293.2632738025465,149.5094107561526,0.0
Trajectory_100,5.25,-292.96348057347024,149.2222874204309,0.0
Trajectory_100,5.3,-292.6640591282388,148.93448356926874,0.0
Trajectory_100,5.35,-292.36569280739803,148.645328396268,0.0
Trajectory_100,5.4,-292.06807924933435,148.35517887942433,0.0
Trajectory_100,5.45,-291.7709253524153,148.06436497250667,0.0
Trajectory_100,5.5,-291.4748529499115,147.77228829197742,0.0
Trajectory_100,5.55,-291.17977451703314,147.4790593834712,0.0
Trajectory_100,5.6,-290.88589780490025,147.18450239855753,0.0
Trajectory_100,5.65,-290.59211783866954,146.88974031323835,0.0
Trajectory_100,5.7,-290.299504593932,146.59372882911276,0.0
Trajectory_100,5.75,-290.007401819988,146.29713042308077,0.0
Trajectory_100,5.8,-289.71652904927316,145.9992577104522,0.0
Trajectory_100,5.85,-289.4261203640275,145.7008697874907,0.0
Trajectory_100,5.9,-289.1374182699151,145.4007877936754,0.0
Trajectory_100,5.95,-288.85046318184635,145.09897976068868,0.0
Trajectory_100,6.0,-288.56587353756686,144.79490124815055,0.0
Trajectory_100,6.05,-288.2818002369629,144.49030723740788,0.0
Trajectory_100,6.1,-287.99867099336484,144.18480705585495,0.0
Trajectory_100,6.15,-287.7169094232318,143.878018812776,0.0
Trajectory_100,6.2,-287.4358155673288,143.5705963875012,0.0
Trajectory_100,6.25,-287.1557905136107,143.26218087129413,0.0
Trajectory_100,6.3,-286.8767834244531,142.95282807563282,0.0
Trajectory_100,6.35,-286.59913441370134,142.64224473945217,0.0
Trajectory_100,6.4,-286.323390406587,142.32995453890868,0.0
Trajectory_100,6.45,-286.0486024397817,142.01681216389812,0.0
Trajectory_100,6.5,-285.7748483196603,141.70275505304565,0.0
Trajectory_100,6.55,-285.5022896768938,141.38765203794074,0.0
Trajectory_100,6.6,-285.23037297952754,141.07199007658144,0.0
Trajectory_100,6.65,-284.95977454498683,140.7551893518829,0.0
Trajectory_100,6.7,-284.69077404107367,140.43702538456193,0.0
Trajectory_100,6.75,-284.42192628722177,140.11872850437587,0.0
Trajectory_100,6.8,-284.1546047720108,139.79914425048682,0.0
Trajectory_100,6.85,-283.8876058407289,139.47928830114085,0.0
Trajectory_100,6.9,-283.6220146986412,139.15825834542233,0.0
Trajectory_100,6.95,-283.3564223217827,138.83722689589155,0.0
Trajectory_100,7.0,-283.09148112734454,138.51565757975666,0.0
Trajectory_100,7.05,-282.8276726351268,138.19315456206513,0.0
Trajectory_100,7.1,-282.5638633418072,137.87065056315882,0.0
Trajectory_100,7.15,-282.30005335155414,137.5481457147501,0.0
Trajectory_100,7.2,-282.03624275884664,137.2256401265994,0.0
Trajectory_100,7.25,-281.7724316412055,136.9031338999694,0.0
Trajectory_100,7.3,-281.50862006888457,136.58062711558716,0.0
Trajectory_100,7.35,-281.2448081024468,136.25811984780648,0.0
Trajectory_100,7.4,-280.98099579276544,135.93561216319154,0.0
Trajectory_100,7.45,-280.7171831858686,135.613104112728,0.0
Trajectory_100,7.5,-280.45337031809424,135.29059574740108,0.0
Trajectory_100,7.55,-280.189557228203,134.96808710686634,0.0
Trajectory_100,7.6,-279.9257439428427,134.6455782293627,0.0
Trajectory_100,7.65,-279.6619304886611,134.32306914463183,0.0
Trajectory_100,7.7,-279.3981168898838,134.00055988170698,0.0
Trajectory_100,7.75,-279.13430316104564,133.67805046324835,0.0
Trajectory_100,7.8,-278.8704893239497,133.35554090837556,0.0
Trajectory_100,7.85,-278.6066753882859,133.0330312376243,0.0
Trajectory_100,7.9,-278.34286137101225,132.71052146374106,0.0
Trajectory_100,7.95,-278.0790472818186,132.38801160301279,0.0
Trajectory_100,8.0,-277.8152331303953,132.06550166393706,0.0
Trajectory_100,8.05,-277.5514189240099,131.7429916599683,0.0
Trajectory_100,8.1,-277.2876046699299,131.42048159747978,0.0
Trajectory_100,8.15,-277.0237903754231,131.09797148426094,0.0
Trajectory_100,8.2,-276.7599760429118,130.77546132739297,0.0
Trajectory_100,8.25,-276.4961616820864,130.45295113395727,0.0
Trajectory_100,8.3,-276.2323472929466,130.1304409074945,0.0
Trajectory_100,8.35,-275.96853288276037,129.80793065225348,0.0
Trajectory_100,8.4,-275.70471845152747,129.48542037248288,0.0
Trajectory_100,8.45,-275.44090400167045,129.16291007172342,0.0
Trajectory_100,8.5,-275.17708953803447,128.8403997520995,0.0
Trajectory_100,8.55,-274.91327505819686,128.51788941644352,0.0
Trajectory_100,8.6,-274.6494605694254,128.19537906546384,0.0
Trajectory_100,8.65,-274.38564607172003,127.87286870411722,0.0
Trajectory_100,8.7,-274.12183156265814,127.5503583309874,0.0
Trajectory_100,8.75,-273.8580170470849,127.22784794819881,0.0
Trajectory_101,0.0,-270.2339354878344,127.91982833768209,0.0
Trajectory_101,0.05,-270.2437744123837,127.93187816101585,0.0
Trajectory_101,0.1,-270.2591358687668,127.95069148517787,0.0
Trajectory_101,0.15,-270.27915882797,127.97521379153059,0.0
Trajectory_101,0.2,-270.3030669505622,128.00449429544975,0.0
Trajectory_101,0.25,-270.3302047455389,128.03773020871714,0.0
Trajectory_101,0.3,-270.36005102511086,128.07428323116707,0.0
Trajectory_101,0.35,-270.39221520790835,128.11367501015516,0.0
Trajectory_101,0.4,-270.42642324402,128.1555699159963,0.0
Trajectory_101,0.45,-270.4624989905008,128.1997522224659,0.0
Trajectory_101,0.5,-270.5003450248515,128.2461026195333,0.0
Trajectory_101,0.55,-270.53992511551513,128.29457673152132,0.0
Trajectory_101,0.6,-270.5812493208302,128.345186876377,0.0
Trajectory_101,0.65,-270.62436182060964,128.3979871623613,0.0
Trajectory_101,0.7,-270.6693313010777,128.45306171113378,0.0
Trajectory_101,0.75,-270.7162434207689,128.51051543081485,0.0
Trajectory_101,0.8,-270.7651949915856,128.57046688157266,0.0
Trajectory_101,0.85,-270.8162894680274,128.63304276920192,0.0
Trajectory_101,0.9,-270.8696334563105,128.69837365597851,0.0
Trajectory_101,0.95,-270.9253339720513,128.76659060483024,0.0
Trajectory_101,1.0,-270.98349629631866,128.83782255429742,0.0
Trajectory_101,1.1,-271.1076088798623,128.9898244110025,0.0
Trajectory_101,1.05,-271.0442222628973,128.91219421892683,0.0
Trajectory_101,1.15,-271.1737472442813,129.07082469014176,0.0
Trajectory_101,1.2,-271.2427216458742,129.155298290477,0.0
Trajectory_101,1.25,-271.3146088838576,129.24333927444025,0.0
Trajectory_101,1.3,-271.3894777315631,129.33503186003955,0.0
Trajectory_101,1.35,-271.4673885391411,129.43044996057367,0.0
Trajectory_101,1.4,-271.5483929646591,129.52965684826995,0.0
Trajectory_101,1.45,-271.6325338408632,129.63270497583585,0.0
Trajectory_101,1.5,-271.7198451243044,129.73963593255408,0.0
Trajectory_101,1.55,-271.8103519631705,129.85048051297142,0.0
Trajectory_101,1.6,-271.9040708281043,129.96525889393052,0.0
Trajectory_101,1.65,-272.0010296968015,130.08400533840828,0.0
Trajectory_101,1.7,-272.1012445941397,130.2067394709133,0.0
Trajectory_101,1.75,-272.2047004783445,130.3334428709416,0.0
Trajectory_101,1.8,-272.311375805541,130.46408915364847,0.0
Trajectory_101,1.85,-272.42124286648703,130.59864438339633,0.0
